id	B cells naive 	B cells memory 	Plasma cells 	T cells CD8 ***	T cells CD4 naive *	T cells CD4 memory resting 	T cells CD4 memory activated 	T cells follicular helper 	T cells regulatory (Tregs) **	T cells gamma delta 	NK cells resting ***	NK cells activated 	Monocytes ***	Macrophages M0 ***	Macrophages M1 	Macrophages M2 ***	Dendritic cells resting 	Dendritic cells activated 	Mast cells resting 	Mast cells activated 	Eosinophils ***	Neutrophils ***
GSM1448650_DILI	0.045492994	0.013333622	0	0.183281263	0.115686549	0.139278101	0	0	0	0	0.172487334	0	0.304953725	0	0	0	0	0.003420398	0	0	0	0.022066015
GSM1448654_DILI	0.025028268	0	0	0.080520079	0.032779776	0.166487501	0	0	0	0	0.240874033	0	0.374133428	0	0	0	0	0.005607755	0.015064673	0	0	0.059504488
GSM1448658_DILI	0.040416257	0	0	0.102442902	0.062424982	0.17977504	0	0	0	0	0.180191181	0	0.378681785	0	0	0	0	0.003610765	0.006642205	0	0	0.045814884
GSM1448662_DILI	0.036151649	0.05013108	0	0.098312724	0.059676796	0.189112534	0	0	0	0	0.114483731	0	0.36982428	0	0	0	0	0.000515662	0.017910821	0	0	0.063880723
GSM1448666_DILI	0.018168067	0.018196389	0	0.172824876	0.080359261	0.109453523	0	0	0	0	0.156384126	0	0.34881274	0.002364882	0	0	0	0.004480783	0.017549936	0	0	0.071405417
GSM1448670_DILI	0.076189073	0	0	0.092845084	0.121168301	0.166399539	0	0	0	0	0.083196457	0	0.389569958	0.0070949	0	0	0	0.003360424	0.020084249	0	0	0.040092014
GSM1448672_DILI	0.05766254	0	0	0.095464222	0.13804348	0.241338651	0	0	0	0	0.122368724	0	0.302077167	0	0	0.004079129	0	0.004400752	0.01016669	0	0	0.024398646
GSM1448676_DILI	0.014811507	0.018805689	0.00811872	0.10597357	0.031766548	0.140039801	0	0	0	0	0.14670171	0	0.463551591	0.003531828	0	0	0	0.002952254	0.019365591	0	0	0.044381191
GSM1448680_DILI	0.013604213	0.004819102	0	0.1548306	0.017786961	0.141435951	0	0	0	0	0.184176586	0	0.439967581	0.003191536	0	0	0	0.003100784	0.013696675	0	0	0.023390012
GSM1448684_DILI	0.033479729	0.003534801	0	0.177090599	0.064949106	0.158075905	0	0	0	0	0.206934654	0	0.333423517	0.003341799	0	0	0	0.005102929	0	0	0	0.014066963
GSM1448688_DILI	0.045429238	0	0.001318567	0.111767306	0.114157405	0.176863037	0	0	0.013474173	0	0.110948357	0	0.381934549	0.00553935	0	0	0	0.003399628	0.013936553	0	0	0.021231836
GSM1448692_DILI	0.024842369	0.004625487	0	0.044333756	0.062158701	0.118797709	0	0	0	0	0.11749428	0	0.578371258	0.001775363	0	0.005896439	0	0.005304085	0.021175456	0	0	0.015225095
GSM1448695_DILI	0.002971854	0.040746905	0.005097975	0.20507368	0.152542808	0.103743033	0	0	0	0	0.232262967	0	0.250609294	0.002244789	0	0	0	0.003330831	0.001375865	0	0	0
GSM1448699_DILI	0.018659512	0.042903403	0	0.217573318	0.025571053	0.139079336	0	0	0.012998938	0	0.153443756	0	0.338668862	0.003495823	0	0	0	0.003896524	0.013087141	0	0	0.030622334
GSM1448702_DILI	0.034887841	0.007864843	0	0.187005533	0.125289143	0.189744677	0	0	0	0	0.183741035	0	0.223719875	0.010411475	0	0	0	0.000956966	0.016484028	0	0.001887767	0.018006817
GSM1448706_DILI	0.039457515	0	0	0.091548536	0.106152351	0.120239696	0.0030742	0	0	0	0.129177762	0	0.456153691	0	0	0.007236688	0	0.005281338	0.003176772	0	0	0.038501451
GSM1448710_DILI	0.059960067	0	0	0.123414771	0	0.253060789	0	0	0	0	0.120004219	0	0.393751138	0.006060454	0	0	0	0.003373535	0.015870398	0	0	0.024504628
GSM1448714_DILI	0.010304184	0.020567213	0	0.191237112	0.081789305	0.161658019	0	0	0	0	0.185773318	0	0.307705253	0.004914945	0	0	0	0.002778435	0.015532962	0	0	0.017739253
GSM1448718_DILI	0.038038747	0.008803071	0	0.120808458	0.107230204	0.14868634	0	0	0	0	0.164319636	0	0.378668991	0	0	0.006614365	0	0.001307552	0	0	0	0.025522637
GSM1448722_DILI	0.016214849	0.001879131	0	0.205447694	0.122227723	0.190489114	0	0	0.015524346	0	0.087225348	0	0.325564627	0.003764268	0	0	0	0.002205993	0.012300351	0	0	0.017156557
